Количество уникальных ОКПД2 кодов: 3630
Топ 10 самых часто встречающихся ОКПД2 кодов:
ОКПД2 код: 14.12.30.132, Количество строк: 62481
ОКПД2 код: 14.12.30.131, Количество строк: 44862
ОКПД2 код: 14.12.11.120, Количество строк: 30723
ОКПД2 код: 14.12.21.120, Количество строк: 25996
ОКПД2 код: 30.20.40.149, Количество строк: 25071
ОКПД2 код: 28.99.39.190, Количество строк: 15659
ОКПД2 код: 27.32.14.111, Количество строк: 15432
ОКПД2 код: 14.13.33.000, Количество строк: 12099
ОКПД2 код: 22.29.29.190, Количество строк: 8647
ОКПД2 код: 14.12.30.112, Количество строк: 8613
ОКПД2 код: 30.20.40.111, Количество строк: 8199
ОКПД2 код: 14.12.30.111, Количество строк: 6961
ОКПД2 код: 26.20.40.120, Количество строк: 6079
ОКПД2 код: 14.12.21.130, Количество строк: 6008
ОКПД2 код: 26.20.40.190, Количество строк: 5824
ОКПД2 код: 14.12.12.110, Количество строк: 5799
ОКПД2 код: 14.13.23.000, Количество строк: 5583
ОКПД2 код: 28.11.42.000, Количество строк: 5520
ОКПД2 код: 15.20.32.122, Количество строк: 5327
ОКПД2 код: 25.94.11.110, Количество строк: 5164
ОКПД2 код: 14.12.11.130, Количество строк: 5034
ОКПД2 код: 27.32.14.112, Количество строк: 4916
ОКПД2 код: 58.11.12.000, Количество строк: 4523
ОКПД2 код: 14.12.22.110, Количество строк: 4210
ОКПД2 код: 27.90.70.000, Количество строк: 4182
ОКПД2 код: 29.32.30.390, Количество строк: 4179
ОКПД2 код: 14.14.21.000, Количество строк: 3723
ОКПД2 код: 20.30.12.130, Количество строк: 3534
ОКПД2 код: 58.11.19.000, Количество строк: 3329
ОКПД2 код: 14.12.30.121, Количество строк: 3176
ОКПД2 код: 27.12.22.000, Количество строк: 3174
ОКПД2 код: 25.73.40.111, Количество строк: 3128
ОКПД2 код: 25.99.29.190, Количество строк: 2858
ОКПД2 код: 31.01.12.110, Количество строк: 2806
ОКПД2 код: 17.23.13.143, Количество строк: 2593
ОКПД2 код: 30.20.40.112, Количество строк: 2566
ОКПД2 код: 14.13.31.120, Количество строк: 2421
ОКПД2 код: 25.11.23.119, Количество строк: 2417
ОКПД2 код: 27.33.13.130, Количество строк: 2357
ОКПД2 код: 28.24.11.000, Количество строк: 2347
ОКПД2 код: 27.90.60.000, Количество строк: 2212
ОКПД2 код: 27.11.61.110, Количество строк: 2140
ОКПД2 код: 14.13.21.120, Количество строк: 2115
ОКПД2 код: 28.11.41.000, Количество строк: 2085
ОКПД2 код: 31.01.12.160, Количество строк: 2043
ОКПД2 код: 24.20.40.000, Количество строк: 2008
ОКПД2 код: 27.90.52.000, Количество строк: 2006
ОКПД2 код: 27.33.13.190, Количество строк: 1986
ОКПД2 код: 22.19.73.119, Количество строк: 1973
ОКПД2 код: 25.73.30.171, Количество строк: 1805
ОКПД2 код: 25.73.30.299, Количество строк: 1752
ОКПД2 код: 30.20.40.180, Количество строк: 1702
ОКПД2 код: 22.21.21.129, Количество строк: 1697
ОКПД2 код: 27.33.13.120, Количество строк: 1695
ОКПД2 код: 14.13.31.130, Количество строк: 1674
ОКПД2 код: 31.09.11.190, Количество строк: 1639
ОКПД2 код: 30.20.31.118, Количество строк: 1631
ОКПД2 код: 29.31.22.190, Количество строк: 1616
ОКПД2 код: 14.13.34.110, Количество строк: 1599
ОКПД2 код: 14.12.30.150, Количество строк: 1580
ОКПД2 код: 27.40.14.000, Количество строк: 1579
ОКПД2 код: 14.12.30.141, Количество строк: 1564
ОКПД2 код: 14.13.21.130, Количество строк: 1561
ОКПД2 код: 22.11.11.000, Количество строк: 1531
ОКПД2 код: 28.14.12.110, Количество строк: 1494
ОКПД2 код: 26.11.30.000, Количество строк: 1474
ОКПД2 код: 31.01.12.190, Количество строк: 1455
ОКПД2 код: 28.14.13.131, Количество строк: 1446
ОКПД2 код: 25.94.12.190, Количество строк: 1420
ОКПД2 код: 27.32.13.135, Количество строк: 1417
ОКПД2 код: 25.94.11.130, Количество строк: 1416
ОКПД2 код: 26.20.13.000, Количество строк: 1395
ОКПД2 код: 17.23.13.193, Количество строк: 1377
ОКПД2 код: 14.12.30.130, Количество строк: 1367
ОКПД2 код: 14.13.35.110, Количество строк: 1351
ОКПД2 код: 27.32.13.111, Количество строк: 1346
ОКПД2 код: 25.94.12.110, Количество строк: 1332
ОКПД2 код: 26.51.52.130, Количество строк: 1271
ОКПД2 код: 23.41.11.110, Количество строк: 1228
ОКПД2 код: 14.12.30.122, Количество строк: 1218
ОКПД2 код: 28.13.32.120, Количество строк: 1215
ОКПД2 код: 26.20.21.110, Количество строк: 1198
ОКПД2 код: 29.32.30.239, Количество строк: 1176
ОКПД2 код: 28.15.10.112, Количество строк: 1165
ОКПД2 код: 28.25.30.110, Количество строк: 1157
ОКПД2 код: 27.33.13.110, Количество строк: 1156
ОКПД2 код: 28.92.61.110, Количество строк: 1156
ОКПД2 код: 31.09.12.139, Количество строк: 1135
ОКПД2 код: 27.20.23.190, Количество строк: 1117
ОКПД2 код: 27.90.40.190, Количество строк: 1090
ОКПД2 код: 20.30.11.120, Количество строк: 1086
ОКПД2 код: 32.91.19.120, Количество строк: 1081
ОКПД2 код: 28.29.70.110, Количество строк: 1068
ОКПД2 код: 15.20.11.123, Количество строк: 1035
ОКПД2 код: 25.73.60.190, Количество строк: 1032
ОКПД2 код: 20.30.22.170, Количество строк: 1028
ОКПД2 код: 22.19.60.119, Количество строк: 1021
ОКПД2 код: 13.92.29.190, Количество строк: 1006
ОКПД2 код: 27.12.31.000, Количество строк: 994
ОКПД2 код: 25.73.30.175, Количество строк: 988
ОКПД2 код: 14.13.24.110, Количество строк: 988
ОКПД2 код: 23.91.11.190, Количество строк: 983
ОКПД2 код: 22.19.73.111, Количество строк: 982
ОКПД2 код: 26.20.16.190, Количество строк: 977
ОКПД2 код: 25.99.23.000, Количество строк: 977
ОКПД2 код: 29.32.30.150, Количество строк: 973
ОКПД2 код: 27.20.22.000, Количество строк: 972
ОКПД2 код: 28.23.23.000, Количество строк: 965
ОКПД2 код: 25.72.14.120, Количество строк: 946
ОКПД2 код: 26.20.16.140, Количество строк: 941
ОКПД2 код: 28.22.19.150, Количество строк: 938
ОКПД2 код: 27.32.13.112, Количество строк: 936
ОКПД2 код: 25.73.30.176, Количество строк: 934
ОКПД2 код: 26.30.30.190, Количество строк: 923
ОКПД2 код: 31.01.12.150, Количество строк: 914
ОКПД2 код: 27.51.26.110, Количество строк: 907
ОКПД2 код: 26.11.22.110, Количество строк: 906
ОКПД2 код: 28.99.52.000, Количество строк: 901
ОКПД2 код: 26.20.21.120, Количество строк: 900
ОКПД2 код: 26.51.51.110, Количество строк: 867
ОКПД2 код: 14.12.11.110, Количество строк: 866
ОКПД2 код: 27.11.42.000, Количество строк: 842
ОКПД2 код: 14.14.30.110, Количество строк: 832
ОКПД2 код: 22.19.30.133, Количество строк: 830
ОКПД2 код: 27.40.39.113, Количество строк: 825
ОКПД2 код: 22.11.13.110, Количество строк: 820
ОКПД2 код: 28.13.14.110, Количество строк: 817
ОКПД2 код: 22.29.25.000, Количество строк: 815
ОКПД2 код: 26.11.21.120, Количество строк: 809
ОКПД2 код: 14.12.30.190, Количество строк: 807
ОКПД2 код: 28.22.19.140, Количество строк: 806
ОКПД2 код: 27.11.61.120, Количество строк: 797
ОКПД2 код: 27.33.13.150, Количество строк: 796
ОКПД2 код: 27.40.21.120, Количество строк: 781
ОКПД2 код: 30.20.31.121, Количество строк: 780
ОКПД2 код: 17.23.13.191, Количество строк: 777
ОКПД2 код: 20.41.44.190, Количество строк: 773
ОКПД2 код: 26.20.40.110, Количество строк: 767
ОКПД2 код: 28.25.12.130, Количество строк: 766
ОКПД2 код: 26.30.11.150, Количество строк: 759
ОКПД2 код: 28.92.61.120, Количество строк: 755
ОКПД2 код: 32.99.13.123, Количество строк: 752
ОКПД2 код: 25.99.12.112, Количество строк: 751
ОКПД2 код: 27.12.21.000, Количество строк: 741
ОКПД2 код: 22.21.29.120, Количество строк: 718
ОКПД2 код: 30.20.40.169, Количество строк: 717
ОКПД2 код: 27.90.31.110, Количество строк: 711
ОКПД2 код: 22.21.29.130, Количество строк: 707
ОКПД2 код: 28.92.61.130, Количество строк: 695
ОКПД2 код: 29.32.30.219, Количество строк: 691
ОКПД2 код: 27.11.21.000, Количество строк: 687
ОКПД2 код: 32.99.59.000, Количество строк: 684
ОКПД2 код: 26.30.50.119, Количество строк: 683
ОКПД2 код: 31.01.12.139, Количество строк: 683
ОКПД2 код: 23.91.11.140, Количество строк: 682
ОКПД2 код: 25.73.40.272, Количество строк: 681
ОКПД2 код: 20.59.52.194, Количество строк: 677
ОКПД2 код: 25.72.14.130, Количество строк: 677
ОКПД2 код: 13.92.16.119, Количество строк: 668
ОКПД2 код: 27.11.24.000, Количество строк: 664
ОКПД2 код: 26.51.82.190, Количество строк: 658
ОКПД2 код: 28.15.24.131, Количество строк: 654
ОКПД2 код: 27.20.11.000, Количество строк: 651
ОКПД2 код: 17.23.13.199, Количество строк: 640
ОКПД2 код: 22.19.40.122, Количество строк: 637
ОКПД2 код: 29.32.30.189, Количество строк: 634
ОКПД2 код: 25.73.40.130, Количество строк: 633
ОКПД2 код: 29.32.30.179, Количество строк: 633
ОКПД2 код: 14.12.30.142, Количество строк: 633
ОКПД2 код: 25.11.23.111, Количество строк: 632
ОКПД2 код: 28.13.12.190, Количество строк: 627
ОКПД2 код: 31.01.12.130, Количество строк: 621
ОКПД2 код: 29.32.30.220, Количество строк: 621
ОКПД2 код: 28.29.13.110, Количество строк: 619
ОКПД2 код: 27.40.39.111, Количество строк: 611
ОКПД2 код: 25.73.40.161, Количество строк: 608
ОКПД2 код: 22.19.73.113, Количество строк: 608
ОКПД2 код: 26.70.14.190, Количество строк: 601
ОКПД2 код: 11.07.11.121, Количество строк: 599
ОКПД2 код: 26.11.21.110, Количество строк: 598
ОКПД2 код: 26.20.17.110, Количество строк: 590
ОКПД2 код: 27.40.15.114, Количество строк: 589
ОКПД2 код: 27.33.13.162, Количество строк: 587
ОКПД2 код: 25.73.40.290, Количество строк: 581
ОКПД2 код: 32.99.51.112, Количество строк: 578
ОКПД2 код: 29.32.30.250, Количество строк: 574
ОКПД2 код: 28.21.13.129, Количество строк: 568
ОКПД2 код: 28.29.13.120, Количество строк: 567
ОКПД2 код: 28.49.23.199, Количество строк: 566
ОКПД2 код: 23.19.23.110, Количество строк: 558
ОКПД2 код: 27.33.13.140, Количество строк: 557
ОКПД2 код: 32.99.13.122, Количество строк: 555
ОКПД2 код: 14.14.12.140, Количество строк: 549
ОКПД2 код: 25.73.40.166, Количество строк: 544
ОКПД2 код: 58.14.11.190, Количество строк: 541
ОКПД2 код: 20.20.14.000, Количество строк: 536
ОКПД2 код: 25.73.30.141, Количество строк: 533
ОКПД2 код: 27.12.24.190, Количество строк: 527
ОКПД2 код: 22.19.73.120, Количество строк: 523
ОКПД2 код: 27.40.15.150, Количество строк: 523
ОКПД2 код: 26.51.33.110, Количество строк: 521
ОКПД2 код: 20.41.32.119, Количество строк: 520
ОКПД2 код: 28.15.10.114, Количество строк: 520
ОКПД2 код: 20.42.15.149, Количество строк: 517
ОКПД2 код: 17.12.14.160, Количество строк: 510
ОКПД2 код: 28.15.10.122, Количество строк: 509
ОКПД2 код: 28.15.10.130, Количество строк: 507
ОКПД2 код: 32.99.11.150, Количество строк: 505
ОКПД2 код: 26.40.51.000, Количество строк: 504
ОКПД2 код: 30.20.40.158, Количество строк: 503
ОКПД2 код: 31.01.12.132, Количество строк: 502
ОКПД2 код: 29.32.30.149, Количество строк: 501
ОКПД2 код: 27.51.11.110, Количество строк: 500
ОКПД2 код: 14.39.10.110, Количество строк: 493
ОКПД2 код: 25.12.10.000, Количество строк: 490
ОКПД2 код: 25.93.15.120, Количество строк: 490
ОКПД2 код: 28.14.13.110, Количество строк: 487
ОКПД2 код: 24.20.13.110, Количество строк: 485
ОКПД2 код: 58.14.12.000, Количество строк: 482
ОКПД2 код: 26.70.19.000, Количество строк: 474
ОКПД2 код: 27.51.25.110, Количество строк: 474
ОКПД2 код: 14.20.10.222, Количество строк: 474
ОКПД2 код: 25.71.14.110, Количество строк: 473
ОКПД2 код: 22.19.73.112, Количество строк: 469
ОКПД2 код: 29.32.30.134, Количество строк: 469
ОКПД2 код: 20.30.22.120, Количество строк: 468
ОКПД2 код: 25.99.11.191, Количество строк: 463
ОКПД2 код: 14.20.10.261, Количество строк: 462
ОКПД2 код: 26.30.21.000, Количество строк: 456
ОКПД2 код: 22.23.14.130, Количество строк: 452
ОКПД2 код: 26.51.44.000, Количество строк: 448
ОКПД2 код: 25.73.40.123, Количество строк: 447
